simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
mid_back_run_02,runner_1,07:00,0,service_idle,,,,delivery_runner,,runner_1,,,,,,runner_1 waiting 180 minutes until opening
mid_back_run_02,runner_2,07:00,0,service_idle,,,,delivery_runner,,runner_2,,,,,,runner_2 waiting 180 minutes until opening
mid_back_run_02,runner_3,07:00,0,service_idle,,,,delivery_runner,,runner_3,,,,,,runner_3 waiting 180 minutes until opening
mid_back_run_02,golf_group_1,07:45:00,2700,tee_off,,1,,golfer_group,,,,1,,,,
mid_back_run_02,golf_group_2,07:53:00,3180,tee_off,,1,,golfer_group,,,,2,,,,
mid_back_run_02,golf_group_3,08:01:00,3660,tee_off,,1,,golfer_group,,,,3,,,,
mid_back_run_02,golf_group_4,08:09:00,4140,tee_off,,1,,golfer_group,,,,4,,,,
mid_back_run_02,golf_group_5,08:17:00,4620,tee_off,,1,,golfer_group,,,,5,,,,
mid_back_run_02,golf_group_6,08:25:00,5100,tee_off,,1,,golfer_group,,,,6,,,,
mid_back_run_02,golf_group_7,08:33:00,5580,tee_off,,1,,golfer_group,,,,7,,,,
mid_back_run_02,golf_group_8,08:41:00,6060,tee_off,,1,,golfer_group,,,,8,,,,
mid_back_run_02,golf_group_9,08:49:00,6540,tee_off,,1,,golfer_group,,,,9,,,,
mid_back_run_02,golf_group_10,08:57:00,7020,tee_off,,1,,golfer_group,,,,10,,,,
mid_back_run_02,golf_group_11,09:05:00,7500,tee_off,,1,,golfer_group,,,,11,,,,
mid_back_run_02,golf_group_12,09:13:00,7980,tee_off,,1,,golfer_group,,,,12,,,,
mid_back_run_02,golf_group_13,09:21:00,8460,tee_off,,1,,golfer_group,,,,13,,,,
mid_back_run_02,golf_group_14,09:30:00,9000,tee_off,,1,,golfer_group,,,,14,,,,
mid_back_run_02,golf_group_15,09:39:00,9540,tee_off,,1,,golfer_group,,,,15,,,,
mid_back_run_02,golf_group_16,09:48:00,10080,tee_off,,1,,golfer_group,,,,16,,,,
mid_back_run_02,runner_1,10:00,10800,service_opened,,,,delivery_runner,,runner_1,,,,,,runner_1 started shift
mid_back_run_02,runner_2,10:00,10800,service_opened,,,,delivery_runner,,runner_2,,,,,,runner_2 started shift
mid_back_run_02,runner_3,10:00,10800,service_opened,,,,delivery_runner,,runner_3,,,,,,runner_3 started shift
mid_back_run_02,order_001,10:00:12,10812,order_placed,,1,,order,001,,,16,,,processed,
mid_back_run_02,runner_1,10:00,10815,order_assigned,,,,delivery_runner,001,runner_1,,,,,,Assigned Order 001 to runner_1
mid_back_run_02,runner_1,10:00,10815,prep_start,,,,delivery_runner,001,runner_1,,,,,,runner_1 started prep for Order 001 (Hole 1)
mid_back_run_02,order_002,10:05:46,11146,order_placed,,2,,order,002,,,16,,,processed,
mid_back_run_02,runner_2,10:05,11150,order_assigned,,,,delivery_runner,002,runner_2,,,,,,Assigned Order 002 to runner_2
mid_back_run_02,runner_2,10:05,11150,prep_start,,,,delivery_runner,002,runner_2,,,,,,runner_2 started prep for Order 002 (Hole 2)
mid_back_run_02,golf_group_17,10:06:00,11160,tee_off,,1,,golfer_group,,,,17,,,,
mid_back_run_02,runner_1,10:10,11415,prep_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 completed prep for Order 001
mid_back_run_02,runner_1,10:10,11415,delivery_start,,,,delivery_runner,001,runner_1,,,,,,"runner_1 departing to Hole 2 (1623m, 2.3 min)"
mid_back_run_02,runner_1,10:12,11550,delivery_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 delivered Order 001 to Hole 2 (Total completion: 12.3 min)
mid_back_run_02,runner_1,10:12,11550,returning,,,,delivery_runner,001,runner_1,,,,,,runner_1 returning to clubhouse from hole_2 (5.0 min)
mid_back_run_02,golf_group_18,10:15:00,11700,tee_off,,1,,golfer_group,,,,18,,,,
mid_back_run_02,runner_2,10:15,11750,prep_complete,,,,delivery_runner,002,runner_2,,,,,,runner_2 completed prep for Order 002
mid_back_run_02,runner_2,10:15,11750,delivery_start,,,,delivery_runner,002,runner_2,,,,,,"runner_2 departing to Hole 2 (2025m, 2.8 min)"
mid_back_run_02,runner_1,10:17,11852,arrived_clubhouse,,,,delivery_runner,001,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 001
mid_back_run_02,runner_2,10:18,11918,delivery_complete,,,,delivery_runner,002,runner_2,,,,,,runner_2 delivered Order 002 to Hole 2 (Total completion: 12.9 min)
mid_back_run_02,runner_2,10:18,11918,returning,,,,delivery_runner,002,runner_2,,,,,,runner_2 returning to clubhouse from hole_2 (6.3 min)
mid_back_run_02,golf_group_19,10:24:00,12240,tee_off,,1,,golfer_group,,,,19,,,,
mid_back_run_02,runner_2,10:24,12296,arrived_clubhouse,,,,delivery_runner,002,runner_2,,,,,,runner_2 arrived at clubhouse after delivering Order 002
mid_back_run_02,golf_group_20,10:33:00,12780,tee_off,,1,,golfer_group,,,,20,,,,
mid_back_run_02,order_003,10:34:11,12851,order_placed,,2,,order,003,,,18,,,processed,
mid_back_run_02,runner_1,10:34,12855,order_assigned,,,,delivery_runner,003,runner_1,,,,,,Assigned Order 003 to runner_1
mid_back_run_02,runner_1,10:34,12855,prep_start,,,,delivery_runner,003,runner_1,,,,,,runner_1 started prep for Order 003 (Hole 2)
mid_back_run_02,golf_group_21,10:42:00,13320,tee_off,,1,,golfer_group,,,,21,,,,
mid_back_run_02,runner_1,10:44,13455,prep_complete,,,,delivery_runner,003,runner_1,,,,,,runner_1 completed prep for Order 003
mid_back_run_02,runner_1,10:44,13455,delivery_start,,,,delivery_runner,003,runner_1,,,,,,"runner_1 departing to Hole 3 (2160m, 3.0 min)"
mid_back_run_02,runner_1,10:47,13634,delivery_complete,,,,delivery_runner,003,runner_1,,,,,,runner_1 delivered Order 003 to Hole 3 (Total completion: 13.1 min)
mid_back_run_02,runner_1,10:47,13634,returning,,,,delivery_runner,003,runner_1,,,,,,runner_1 returning to clubhouse from hole_3 (6.7 min)
mid_back_run_02,golf_group_22,10:51:00,13860,tee_off,,1,,golfer_group,,,,22,,,,
mid_back_run_02,runner_1,10:53,14037,arrived_clubhouse,,,,delivery_runner,003,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 003
mid_back_run_02,golf_group_23,11:00:00,14400,tee_off,,1,,golfer_group,,,,23,,,,
mid_back_run_02,golf_group_24,11:09:00,14940,tee_off,,1,,golfer_group,,,,24,,,,
mid_back_run_02,golf_group_25,11:18:00,15480,tee_off,,1,,golfer_group,,,,25,,,,
mid_back_run_02,golf_group_26,11:27:00,16020,tee_off,,1,,golfer_group,,,,26,,,,
mid_back_run_02,golf_group_27,11:36:00,16560,tee_off,,1,,golfer_group,,,,27,,,,
mid_back_run_02,order_004,11:44:13,17053,order_placed,,12,,order,004,,,10,,,processed,
mid_back_run_02,runner_1,11:44,17055,order_assigned,,,,delivery_runner,004,runner_1,,,,,,Assigned Order 004 to runner_1
mid_back_run_02,runner_1,11:44,17055,prep_start,,,,delivery_runner,004,runner_1,,,,,,runner_1 started prep for Order 004 (Hole 12)
mid_back_run_02,golf_group_28,11:45:00,17100,tee_off,,1,,golfer_group,,,,28,,,,
mid_back_run_02,order_005,11:45:13,17113,order_placed,,2,,order,005,,,26,,,processed,
mid_back_run_02,runner_2,11:45,17115,order_assigned,,,,delivery_runner,005,runner_2,,,,,,Assigned Order 005 to runner_2
mid_back_run_02,runner_2,11:45,17115,prep_start,,,,delivery_runner,005,runner_2,,,,,,runner_2 started prep for Order 005 (Hole 2)
mid_back_run_02,order_006,11:51:26,17486,order_placed,,2,,order,006,,,27,,,processed,
mid_back_run_02,runner_3,11:51,17490,order_assigned,,,,delivery_runner,006,runner_3,,,,,,Assigned Order 006 to runner_3
mid_back_run_02,runner_3,11:51,17490,prep_start,,,,delivery_runner,006,runner_3,,,,,,runner_3 started prep for Order 006 (Hole 2)
mid_back_run_02,golf_group_29,11:54:00,17640,tee_off,,1,,golfer_group,,,,29,,,,
mid_back_run_02,runner_1,11:54,17655,prep_complete,,,,delivery_runner,004,runner_1,,,,,,runner_1 completed prep for Order 004
