simulation_id,ID,timestamp,timestamp_s,action,node_id,hole,ttl_amt,type,order_id,runner_id,cart_id,group_id,latitude,longitude,status,details
runners_1_run_02,runner_1,07:00,0,service_idle,,,,delivery_runner,,runner_1,,,,,,runner_1 waiting 180 minutes until opening
runners_1_run_02,golf_group_1,07:45:00,2700,tee_off,,1,,golfer_group,,,,1,,,,
runners_1_run_02,golf_group_2,07:53:00,3180,tee_off,,1,,golfer_group,,,,2,,,,
runners_1_run_02,golf_group_3,08:01:00,3660,tee_off,,1,,golfer_group,,,,3,,,,
runners_1_run_02,golf_group_4,08:09:00,4140,tee_off,,1,,golfer_group,,,,4,,,,
runners_1_run_02,golf_group_5,08:17:00,4620,tee_off,,1,,golfer_group,,,,5,,,,
runners_1_run_02,golf_group_6,08:25:00,5100,tee_off,,1,,golfer_group,,,,6,,,,
runners_1_run_02,golf_group_7,08:33:00,5580,tee_off,,1,,golfer_group,,,,7,,,,
runners_1_run_02,golf_group_8,08:41:00,6060,tee_off,,1,,golfer_group,,,,8,,,,
runners_1_run_02,golf_group_9,08:49:00,6540,tee_off,,1,,golfer_group,,,,9,,,,
runners_1_run_02,golf_group_10,08:57:00,7020,tee_off,,1,,golfer_group,,,,10,,,,
runners_1_run_02,golf_group_11,09:05:00,7500,tee_off,,1,,golfer_group,,,,11,,,,
runners_1_run_02,golf_group_12,09:13:00,7980,tee_off,,1,,golfer_group,,,,12,,,,
runners_1_run_02,golf_group_13,09:21:00,8460,tee_off,,1,,golfer_group,,,,13,,,,
runners_1_run_02,golf_group_14,09:30:00,9000,tee_off,,1,,golfer_group,,,,14,,,,
runners_1_run_02,golf_group_15,09:39:00,9540,tee_off,,1,,golfer_group,,,,15,,,,
runners_1_run_02,golf_group_16,09:48:00,10080,tee_off,,1,,golfer_group,,,,16,,,,
runners_1_run_02,runner_1,10:00,10800,service_opened,,,,delivery_runner,,runner_1,,,,,,runner_1 started shift
runners_1_run_02,golf_group_17,10:06:00,11160,tee_off,,1,,golfer_group,,,,17,,,,
runners_1_run_02,golf_group_18,10:15:00,11700,tee_off,,1,,golfer_group,,,,18,,,,
runners_1_run_02,golf_group_19,10:24:00,12240,tee_off,,1,,golfer_group,,,,19,,,,
runners_1_run_02,order_001,10:26:09,12369,order_placed,,10,,order,001,,,6,,,processed,
runners_1_run_02,runner_1,10:26,12370,order_assigned,,,,delivery_runner,001,runner_1,,,,,,Assigned Order 001 to runner_1
runners_1_run_02,runner_1,10:26,12370,prep_start,,,,delivery_runner,001,runner_1,,,,,,runner_1 started prep for Order 001 (Hole 10)
runners_1_run_02,golf_group_20,10:33:00,12780,tee_off,,1,,golfer_group,,,,20,,,,
runners_1_run_02,runner_1,10:36,12970,prep_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 completed prep for Order 001
runners_1_run_02,runner_1,10:36,12970,delivery_start,,,,delivery_runner,001,runner_1,,,,,,"runner_1 departing to Hole 10 (961m, 1.3 min)"
runners_1_run_02,order_002,10:36:21,12981,order_placed,,7,,order,002,,,11,,,processed,
runners_1_run_02,runner_1,10:37,13050,delivery_complete,,,,delivery_runner,001,runner_1,,,,,,runner_1 delivered Order 001 to Hole 10 (Total completion: 11.4 min)
runners_1_run_02,runner_1,10:37,13050,returning,,,,delivery_runner,001,runner_1,,,,,,runner_1 returning to clubhouse from hole_10 (3.0 min)
runners_1_run_02,runner_1,10:40,13229,arrived_clubhouse,,,,delivery_runner,001,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 001
runners_1_run_02,runner_1,10:40,13230,order_assigned,,,,delivery_runner,002,runner_1,,,,,,Assigned Order 002 to runner_1
runners_1_run_02,runner_1,10:40,13230,prep_start,,,,delivery_runner,002,runner_1,,,,,,runner_1 started prep for Order 002 (Hole 7)
runners_1_run_02,golf_group_21,10:42:00,13320,tee_off,,1,,golfer_group,,,,21,,,,
runners_1_run_02,runner_1,10:50,13830,prep_complete,,,,delivery_runner,002,runner_1,,,,,,runner_1 completed prep for Order 002
runners_1_run_02,runner_1,10:50,13830,delivery_start,,,,delivery_runner,002,runner_1,,,,,,"runner_1 departing to Hole 9 (1048m, 1.5 min)"
runners_1_run_02,golf_group_22,10:51:00,13860,tee_off,,1,,golfer_group,,,,22,,,,
runners_1_run_02,runner_1,10:51,13917,delivery_complete,,,,delivery_runner,002,runner_1,,,,,,runner_1 delivered Order 002 to Hole 9 (Total completion: 15.6 min)
runners_1_run_02,runner_1,10:51,13917,returning,,,,delivery_runner,002,runner_1,,,,,,runner_1 returning to clubhouse from hole_9 (3.3 min)
runners_1_run_02,order_003,10:53:49,14029,order_placed,,2,,order,003,,,19,,,processed,
runners_1_run_02,runner_1,10:55,14112,arrived_clubhouse,,,,delivery_runner,002,runner_1,,,,,,runner_1 arrived at clubhouse after delivering Order 002
runners_1_run_02,runner_1,10:55,14115,order_assigned,,,,delivery_runner,003,runner_1,,,,,,Assigned Order 003 to runner_1
runners_1_run_02,runner_1,10:55,14115,prep_start,,,,delivery_runner,003,runner_1,,,,,,runner_1 started prep for Order 003 (Hole 2)
runners_1_run_02,golf_group_23,11:00:00,14400,tee_off,,1,,golfer_group,,,,23,,,,
runners_1_run_02,order_004,11:02:05,14525,order_placed,,7,,order,004,,,15,,,processed,
runners_1_run_02,runner_1,11:05,14715,prep_complete,,,,delivery_runner,003,runner_1,,,,,,runner_1 completed prep for Order 003
runners_1_run_02,runner_1,11:05,14715,delivery_start,,,,delivery_runner,003,runner_1,,,,,,"runner_1 departing to Hole 4 (3021m, 4.2 min)"
runners_1_run_02,golf_group_24,11:09:00,14940,tee_off,,1,,golfer_group,,,,24,,,,
runners_1_run_02,runner_1,11:09,14966,delivery_complete,,,,delivery_runner,003,runner_1,,,,,,runner_1 delivered Order 003 to Hole 4 (Total completion: 15.6 min)
